first,second
2102.0,C
1104.0,C
1107.0,C
2204.0,C
4901.0,I
7701.0,O
2004.0,C
1302.0,C
501.0,A
6401.0,K
5401.0,J
2002.0,C
1801.0,C
6702.0,L
7501.0,O
8110.0,P
6201.0,K
1106.0,C
2001.0,C
5501.0,J
5601.0,J
4501.0,H
1804.0,C
2302.0,C
2202.0,C
9501.0,S
8210.0,P
2701.0,D
6301.0,K
9201.0,R
1901.0,C
2401.0,C
1306.0,C
1401.0,C
1501.0,C
3201.0,E
2101.0,C
2501.0,C
5101.0,I
9101.0,R
9402.0,S
1701.0,C
2304.0,C
5801.0,J
6701.0,T
2303.0,C
802.0,B
901.0,B
801.0,B
5701.0,J
2005.0,C
8901.0,R
7310.0,N
3101.0,E
103.0,A
2201.0,C
1109.0,C
5201.0,I
3301.0,F
7210.0,N
6901.0,M
301.0,A
2301.0,C
1105.0,C
4801.0,I
6601.0,L
1102.0,C
4601.0,I
3001.0,E
1202.0,C
1601.0,C
1301.0,C
4401.0,H
1101.0,C
1902.0,C
2003.0,C
1303.0,C
1304.0,C
1205.0,C
8010.0,P
2901.0,D
2601.0,D
2405.0,C
1103.0,C
2801.0,D
1502.0,C
2502.0,C
4701.0,I
6001.0,J
102.0,A
401.0,A
1803.0,C
7601.0,O
3002.0,E
3901.0,G
101.0,A
1802.0,C
1108.0,C
7001.0,M
8601.0,Q
1305.0,C
9502.0,S
2404.0,C
201.0,A
601.0,B
1201.0,C
2203.0,C
2403.0,C
2605.0,D
701.0,B
9401.0,S
1402.0,C
8401.0,Q
