19×30 DataFrame
 Row │ Industry  x1_sum      x2_sum      x3_sum     x4_sum      x5_sum         x6_sum      x7_sum     x8_sum      x9_sum      x10_sum     x11_sum     x12_sum     x13_sum     x14_sum    x15_sum    x16_sum   x17_sum   x18_sum    x19_sum    x20_sum        x21_sum        x22_sum      x23_sum       x24_sum     x25_sum     x26_sum     x27_sum        x28_sum        x29_sum
     │ Union…    Float64     Float64     Float64    Float64     Float64        Float64     Float64    Float64     Float64     Float64     Float64     Float64     Float64     Float64    Float64    Float64   Float64   Float64    Float64    Float64        Float64        Float64      Float64       Float64     Float64     Float64     Float64        Float64        Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ A         16443.1       278.937   40876.4       30.9792    798.788        595.189   2918.54     1905.61      100.128      36.1254      8.5812   1099.02       87.6884    41.4228    123.496   133.09    359.405   369.303    258.897   66464.8        10541.0           633.577    4248.93        107.129     364.506   -1506.89    16652.0        31040.2         97505.0
   2 │ B           321.734   18731.9     40481.7     4316.92     4994.6         1002.17     322.005     663.33     1124.11      252.715     249.849     658.054    1292.46     533.226     577.24    270.433   425.317    89.8794   216.149   76523.8         5246.25          244.408    6820.15        321.768    1140.58     1751.45        2.15243e5      2.30767e5  307291.0
   3 │ C          5912.94    10591.6     42985.7     1905.01    57293.0         4306.42    3886.56    12511.1     10938.9      2503.1       983.855    1538.86     3770.74    1205.16     3518.73   2264.01   5867.37   1789.68    3603.95        1.77377e5  74877.4          4624.86    15038.2         826.231    5599.61    -2684.16        1.07002e5      2.05284e5  382661.0
   4 │ D          2421.91     5637.06    10307.2    30733.6      4184.48        1573.34    2154.45     2506.23     2111.56     2394.13      880.774    3885.02     4249.09    1678.72     4287.94   1258.05   2724.92    641.435    507.991   84137.9        27224.1          1521.66     3675.48       1392.69     1542.44       14.9659    816.824      36188.1        120326.0
   5 │ E          3232.42    12850.2      3238.67    4669.45        1.44378e5   3449.76    1578.41     1714.0      6652.4      1776.17     1523.73    18881.3      6329.28    1428.88    11908.0    1007.43   1533.34    373.271    943.284       2.27468e5   1950.51          314.507       1.8666e5  17549.8     45294.8         0.6515   2662.54           2.54433e5  481901.0
   6 │ F          3523.21     4447.3     11218.1      999.098   11557.6         3720.17    2883.98     2586.3      3501.73     2208.91     1990.74     1064.76     3102.61    1288.3      1931.4    2129.8    4485.21   1072.64    2960.36    66672.3        39735.1           542.987    9941.31        527.995    2061.31      273.716   20665.3        73747.7        140420.0
   7 │ G           820.058    1493.46     3662.44     474.124    4554.25        1739.45    2177.52     1164.0      2161.21      601.484     599.789     463.116    1025.6      545.461     680.96    686.643  2069.14    386.078   1009.66    26314.5        96629.7          2862.32     2604.11         95.5851    554.745      -9.7559   5361.85           1.08099e5  134413.0
   8 │ H           283.557    1155.41     2465.59     311.258    2445.07         781.4      734.257     264.434     809.269     738.001     765.285     271.469    2737.29    1287.66      857.405   643.652   276.82    357.029    217.425   17402.3        62894.6            13.2622     43.2632        1.4104      9.7987      0.0415  13594.4        76556.7         93959.0
   9 │ I          3360.54     6896.72    18544.0     1576.68    11395.6        13324.0     3775.82     1717.02    27625.3      2235.3      3323.12     1402.0      5335.63    2598.35     3523.95   2870.63   2677.28   1172.65    1299.21        1.14654e5  39910.2         17002.2      3370.92        558.055    1463.24      107.116   27098.4        89510.1        204164.0
