Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings
AgrForestFish,-9.724417960727207e-9,307.1942195016471,-9.68849890500181e-9,249.83992378238045,-9.335714543878095e-9,-9.587334676101625e-9,-9.518541887904903e-9,-9.7092588732508e-9,1070.791170718045,1.1781163652972076e-8,-9.413095213657004e-9,-8.97564558812409e-9,-8.634513167700706e-9,-9.838242661619461e-9,898.7561695932883,-9.252969749700167e-9,-5.813917458712776e-9,-9.58029008855729e-9,-9.799172110804495e-9,2297.237616521607
Mining,-9.751943438797013e-9,123.39419225488653,-9.718829775962771e-9,-2.8195226030779165e-9,-9.49336468981207e-9,-9.654574128825684e-9,-9.606652728182162e-9,-9.744705435999568e-9,735.5184386866816,-7.801908103145946e-9,-9.534940122493478e-9,-9.26403723661064e-9,-9.15182877295412e-9,-9.850230926766573e-9,483.9221025324746,-9.441654854342895e-9,-8.540875758409791e-9,-9.651742221871514e-9,-9.81743800079304e-9,3144.401866669679
Manufacturing,3459.5208088585623,11961.767920022523,5909.76783271749,6109.182503562562,2207.092624085492,670.3381179029444,629.5213754179991,-7.855523111790849e-9,10636.482679861347,4959.392269968822,928.8390385371273,5009.11254079302,3466.3044572339586,-9.773365289190415e-9,5111.37435810651,2300.630583823137,2894.914543498484,-8.149762800662078e-9,-9.699190739896978e-9,19752.942845645382
Utilities,-9.70916921240216e-9,600.1525801037137,-9.666360333212183e-9,455.3959879442206,-9.254666950092364e-9,-9.557698181203773e-9,-9.47700074541112e-9,-9.695073387716706e-9,1302.576829141592,147.5240907152089,-9.346945240320492e-9,-8.714393493511499e-9,-8.213826877907587e-9,-9.83413738316144e-9,1098.4107463867979,-9.14416871356414e-9,5.0788951339767985e-9,-9.550994721984918e-9,-9.79286277335815e-9,3006.55396582522
Construction,7803.176750099458,29886.735109263536,10647.308848958475,15313.270565803523,7262.846194326226,6482.631444142616,8212.802750657536,5205.254904651192,16641.485135102375,12110.952934209761,10765.977659777167,11270.434768033969,9262.795124474833,1953.7230318565014,15967.363463347436,9034.197680063864,11629.552150739279,6482.034435852864,3034.2290037528865,50537.61574488641
Wholesale,-9.70014502651324e-9,1944.590299195011,-9.614224043422381e-9,250.97048333857768,-9.48785321407816e-9,-9.65662027943452e-9,-9.615785851295694e-9,-9.7500036290703e-9,1801.2920250338668,8.209811567398248,-9.547801811621888e-9,-8.623318652496708e-9,-8.966949428168157e-9,-9.85507075172107e-9,914.3004211794846,-9.3676711960011e-9,-8.284214186473e-9,-9.672774224824659e-9,-9.825204812496007e-9,7611.251659817507
Retail,-9.749741201902795e-9,2.674354377414238e-9,-9.725675122717294e-9,-6.529782780924921e-9,-9.51099621449584e-9,-9.664388389703967e-9,-9.622671881026306e-9,-9.753159754489705e-9,653.7270266386106,-7.657790754698768e-9,-9.550783728516722e-9,-9.253151322055248e-9,-9.109222720062277e-9,-9.853019452731563e-9,411.06469318460773,-9.47767062259126e-9,-8.646533846317224e-9,-9.665405009600358e-9,-9.821230626518555e-9,2189.6473803215754
AccomFoodServ,-9.807754368090193e-9,-9.278471414643034e-9,-9.792109556898395e-9,-9.254581132092943e-9,-9.671796888380306e-9,-9.7476799128818e-9,-9.723761334929268e-9,-9.799060968805463e-9,-8.283123710126354e-9,-9.381132995459254e-9,-9.692866228818918e-9,-9.609198927752205e-9,-9.562223591822789e-9,-9.87031444265551e-9,-8.593904184867184e-9,-9.6537198253843e-9,-9.441627709002886e-9,-9.744529582549792e-9,-9.846311217748642e-9,54.47230018063111
Transport&Ware,-9.710742628361585e-9,526.0761981526816,-9.675371006294447e-9,354.5508428935941,-9.288408594975675e-9,-9.573826726682107e-9,-9.500345730368371e-9,-9.703836817370897e-9,1175.585334190402,45.43316981978232,-9.392724804788067e-9,-8.881291657993974e-9,-8.450275449028417e-9,-9.836880422302678e-9,964.2406195956535,-9.217323527115457e-9,-3.6824979134356075e-9,-9.570481681495856e-9,-9.797105192441596e-9,2326.333035474045
Communications,-9.7628569893392e-9,215.60499035136348,-9.71533552768284e-9,-1.1575659649695483e-9,-9.521551743920786e-9,-9.664694903907202e-9,-9.630771396453311e-9,-9.754933231985753e-9,1683.3061661859686,-4.528918969977044e-9,-9.57529613877154e-9,-9.044240812177305e-9,-9.194619554718704e-9,-9.854195519826134e-9,646.2219536320182,-9.479104893844786e-9,-8.879752181735021e-9,-9.674421432504294e-9,-9.823772469725793e-9,2907.893189969789
